id,symbol,name,current_price,market_cap,total_volume
bitcoin,btc,Bitcoin,63396.0,1270350663986,35620180585.0
ethereum,eth,Ethereum,1690.6,204027828380,16823091053.0
tether,usdt,Tether,0.999396,186839047437,58956401246.0
binancecoin,bnb,BNB,604.13,81449424025,759377844.0
usd-coin,usdc,USDC,0.999679,75984262432,14969893895.0
ripple,xrp,XRP,1.17,72818159668,2169986551.0
solana,sol,Solana,67.15,38912100672,3384756180.0
tron,trx,TRON,0.325104,30827350982,487020075.0
figure-heloc,figr_heloc,Figure Heloc,1.027,19056426645,18994820.0
hyperliquid,hype,Hyperliquid,62.38,13875810925,913544947.0
